Id,model_name,best_params,rmse_test,features,tag,comment
1,Random Forest,"{'model__n_estimators': 600, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': None}",98265.65909768251,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Champion,"Champion – RMSE 98,266"
2,Gradient Boosting,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.0}",98644.06999984047,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Challenger,"Challenger – RMSE 98,644"
3,Decision Tree,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",118755.59617315847,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Challenger,"Challenger – RMSE 118,756"
4,Linear,{},136212.6179718654,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Challenger,"Challenger – RMSE 136,213"
5,Ridge,{'model__alpha': 0.001},136222.97717126907,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Challenger,"Challenger – RMSE 136,223"
6,Lasso,{'model__alpha': 0.001},136499.5109767092,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Challenger,"Challenger – RMSE 136,500"
7,Improved NN-1,"{'model__model__learning_rate': 0.01, 'model__model__l2_reg': 0.001, 'model__model__hidden_units': 512, 'model__model__dropout_rate': 0.4, 'model__epochs': 150, 'model__batch_size': 128}",140188.82953209573,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Deprecated,"Deprecated – RMSE 140,189"
8,K-NN,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",155374.1524903348,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Deprecated,"Deprecated – RMSE 155,374"
9,SVR,"{'model__C': 100, 'model__epsilon': 0.1, 'model__gamma': 'scale'}",555590.2248903263,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Deprecated,"Deprecated – RMSE 555,590"
10,Wide&Deep NN-3,"{'model__model__learning_rate': 0.001, 'model__model__l2_reg': 0.0001, 'model__model__dropout_rate': 0.15, 'model__epochs': 150, 'model__batch_size': 32}",835991.2058740503,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Deprecated,"Deprecated – RMSE 835,991"
11,NN-1 básica,"{'model__model__learning_rate': 0.01, 'model__model__hidden_units': 128, 'model__model__dropout_rate': 0.0, 'model__epochs': 50}",867502.7879029567,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Deprecated,"Deprecated – RMSE 867,503"
12,Deep NN-2,"{'model__model__learning_rate': 0.001, 'model__model__l2_reg': 0.001, 'model__model__dropout_rate': 0.4, 'model__epochs': 150, 'model__batch_size': 32}",1115652.0996073855,"['Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'year', 'month', 'day', 'weekday', 'week', 'quarter', 'Store', 'Holiday_Flag', 'is_weekend']",Deprecated,"Deprecated – RMSE 1,115,652"
